ID,Label,AssetCode,Type,Brand,Model,Serial,Location,Cost,WarrantyEnd,Status,Loanable,LoanedTo,Remark,Comment,OpenFaults,Repairs
cmp66oaad006v2jo2hdrcv42d,-,0054-000282,Portable HD,HP,PX3100,8CY4501647,Custody,,,Operational,Yes,,,,0,0
cmp66oaad006w2jo2ws5y1zy6,-,0054-000331,Portable HD,Seagate,SRD0SP0,NA5BP0F2,Custody,,,Operational,Yes,,,,0,0
cmp66oaae007t2jo2nnhcbizs,-,,Portable HD,STOREJET,SJ25H3B,D553270456,teacher 5,,,Operational,Yes,,,,0,0
cmp66oaaj00lx2jo2b7mas166,2018VT01,NIL,Portable Mic,S CHIAYO,ITX2,4SJ-1770254,Teacher 1,60,,Operational,Yes,,,,0,0
cmp66oaaj00lz2jo2y1na8n9g,2018VT02,NIL,Portable Mic,S CHIAYO,ITX2,4SJ-16C0240,Teacher 2,60,,Operational,Yes,,,,0,0
cmp66oaaj00m12jo2j2kakicj,2018VT03,NIL,Portable Mic,S CHIAYO,ITX2,4SJ-1770051,Teacher 3,60,,Operational,Yes,,,,0,0
cmp66oaaj00m32jo2guyi2dxn,2018VT04,NIL,Portable Mic,S CHIAYO,ITX2,4SJ-1750147,Teacher 4,60,,Operational,Yes,,,,0,0
cmp66oaaj00m52jo2hf50dclr,2018VT05,NIL,Portable Mic,S CHIAYO,ITX2,4SJ-1720004,Teacher 5,60,,Operational,Yes,,,,0,0
cmp66oaaj00m72jo27tqggd8h,2018VT06,NIL,Portable Mic,S CHIAYO,ITX2,4SJ-1770050,Teacher 6,60,,Operational,Yes,,,,0,0
cmp66oaaj00m92jo2s9m0z0d7,2018VT07,NIL,Portable Mic,S CHIAYO,ITX2,4SJ-1770055,Teacher 7,60,,Operational,Yes,,,,0,0
cmp66oaaj00mb2jo2pi6t25q1,2018VT08,NIL,MIC,S CHIAYO,ITX2,4SJ-1770045,Teacher 8,0,,Operational,Yes,,,,0,0
cmp66oaaj00ma2jo24msphg72,2018VT08,NIL,MIC,S CHIAYO,HC-42,4SJ-1750234,Teacher 9,0,,Operational,Yes,,,,0,0
cmp66oaaj00md2jo2mw4oyti4,2018VT09,NIL,MIC,S CHIAYO,ITX3,4SJ-1770227,Teacher 10,0,,Operational,Yes,,,,0,0
cmp66oaaj00mc2jo2uahyml5f,2018VT09,NIL,MIC,S CHIAYO,ITX3,4SJ-1770227,Teacher 11,0,,Operational,Yes,,,,0,0
cmp66oaaj00mf2jo2y9lmmr4l,2018VT10,NIL,Portable Mic,S CHIAYO,ITX2,4SJ-1770044,Teacher 12,60,,Operational,Yes,,,,0,0
cmp66oaak00mh2jo263z32kln,2018VT11,NIL,Portable Mic,S CHIAYO,ITX2,4SJ-1770253,Teacher 13,60,,Operational,Yes,,,,0,0
cmp66oaak00mj2jo22rr79sni,2018VT12,NIL,Portable Mic,S CHIAYO,ITX3,4SJ-1770256,Teacher 14,60,,Operational,Yes,,,,0,0
cmp66oaaj00lh2jo22ah6ki1z,2018VT13,NIL,MIC,S CHIAYO,ITX3,4SJ-1770073,Teacher 15,0,,Operational,No,,,Spoiled,1,0
cmp66oaaj00lg2jo28j18blb0,2018VT13,NIL,MIC,S CHIAYO,HC-43,4SJ-1750192,Teacher 16,0,,Operational,No,,,Spoiled,1,0
cmp66oaak00ml2jo2vgq4qpt1,2018VT14,NIL,Portable Mic,S CHIAYO,ITX3,4SJ-1770248,Teacher 1,60,,Operational,Yes,,,,0,0
cmp66oaaj00li2jo29u3g55q0,2018VT15,NIL,MIC,S CHIAYO,HC-43,4SJ-1750215,Teacher 2,0,,Others,Yes,,,Spoiled,1,0
cmp66oaaj00lj2jo2cqihkrow,2018VT15,NIL,MIC,S CHIAYO,ITX3,4SJ-1770252,Teacher 3,0,,Others,Yes,,,Spoiled,1,0
cmp66oaak00mn2jo2cdk4okjr,2018VT16,NIL,Portable Mic,S CHIAYO,ITX3,4SJ-1770246,Teacher 4,60,,Operational,Yes,,,,0,0
cmp66oaak00mp2jo2iem6x4oy,2018VT17,NIL,Portable Mic,S CHIAYO,ITX3,4SJ-1770257,Teacher 5,60,,Operational,Yes,,,,0,0
cmp66oaaj00lk2jo2zuvj84ni,2018VT18,NIL,MIC,S CHIAYO,HC-43,4SJ-1750244,Teacher 6,0,,Others,Yes,,,Spoiled,1,0
cmp66oaaj00ll2jo2ml215557,2018VT18,NIL,MIC,S CHIAYO,ITX3,4SJ-1770250,Teacher 7,0,,Others,Yes,,,Spoiled,1,0
cmp66oaak00mr2jo2dn36nc5d,2018VT19,NIL,Portable Mic,S CHIAYO,ITX3,4SJ-1770251,Teacher 8,60,,Operational,Yes,,,,0,0
